VISITING,HOME,WEEK,DATE,TIME,TV,Bye
Steelers,Patriots,1,9/10/15,8:30 PM ET ,,BYE WEEK: No teams on bye Flexible scheduling procedures  
Packers,Bears,1,9/13/15,1:00 PM ET ,,
Chiefs,Texans,1,9/13/15,1:00 PM ET ,,
Browns,Jets,1,9/13/15,1:00 PM ET ,,
Colts,Bills,1,9/13/15,1:00 PM ET ,,
Dolphins,Redskins,1,9/13/15,1:00 PM ET ,,
Panthers,Jaguars,1,9/13/15,1:00 PM ET ,,
Seahawks,Rams,1,9/13/15,1:00 PM ET ,,
Saints,Cardinals,1,9/13/15,4:05 PM ET ,,
Lions,Chargers,1,9/13/15,4:05 PM ET ,,
Titans,Buccaneers,1,9/13/15,4:25 PM ET ,,
Bengals,Raiders,1,9/13/15,4:25 PM ET ,,
Ravens,Broncos,1,9/13/15,4:25 PM ET ,,
Giants,Cowboys,1,9/13/15,8:30 PM ET ,,
Eagles,Falcons,1,9/13/15,7:10 PM ET ,,
Vikings,49ers,1,9/14/15,10:20 PM ET ,,
Broncos,Chiefs,2,9/17/15,8:25 PM ET ,,BYE WEEK: No teams on bye Flexible scheduling procedures  
Texans,Panthers,2,9/20/15,1:00 PM ET ,,
49ers,Steelers,2,9/20/15,1:00 PM ET ,,
Buccaneers,Saints,2,9/20/15,1:00 PM ET ,,
Lions,Vikings,2,9/20/15,1:00 PM ET ,,
Cardinals,Bears,2,9/20/15,1:00 PM ET ,,
Patriots,Bills,2,9/20/15,1:00 PM ET ,,
Chargers,Bengals,2,9/20/15,1:00 PM ET ,,
Titans,Browns,2,9/20/15,1:00 PM ET ,,
Falcons,Giants,2,9/20/15,1:00 PM ET ,,
Rams,Redskins,2,9/20/15,1:00 PM ET ,,
Dolphins,Jaguars,2,9/20/15,4:05 PM ET ,,
Ravens,Raiders,2,9/20/15,4:05 PM ET ,,
Cowboys,Eagles,2,9/20/15,4:25 PM ET ,,
Seahawks,Packers,2,9/20/15,8:30 PM ET ,,
Jets,Colts,2,9/21/15,8:30 PM ET ,,
Redskins,Giants,3,9/24/15,8:25 PM ET ,,BYE WEEK: No teams on bye Flexible scheduling procedures  
Falcons,Cowboys,3,9/27/15,1:00 PM ET ,,
Colts,Titans,3,9/27/15,1:00 PM ET ,,
Raiders,Browns,3,9/27/15,1:00 PM ET ,,
Bengals,Ravens,3,9/27/15,1:00 PM ET ,,
Jaguars,Patriots,3,9/27/15,1:00 PM ET ,,
Saints,Panthers,3,9/27/15,1:00 PM ET ,,
Eagles,Jets,3,9/27/15,1:00 PM ET ,,
Buccaneers,Texans,3,9/27/15,1:00 PM ET ,,
Chargers,Vikings,3,9/27/15,1:00 PM ET ,,
Steelers,Rams,3,9/27/15,1:00 PM ET ,,
49ers,Cardinals,3,9/27/15,4:05 PM ET ,,
Bills,Dolphins,3,9/27/15,4:25 PM ET ,,
Bears,Seahawks,3,9/27/15,4:25 PM ET ,,
Broncos,Lions,3,9/27/15,8:30 PM ET ,,
Chiefs,Packers,3,9/28/15,8:30 PM ET ,,
Ravens,Steelers,4,10/1/15,8:25 PM ET ,,"BYE WEEK:  Patriots, Titans Flexible scheduling procedures  "
Jets,Dolphins,4,10/4/15,9:30 AM ET ,,
Jaguars,Colts,4,10/4/15,1:00 PM ET ,,
Giants,Bills,4,10/4/15,1:00 PM ET ,,
Panthers,Buccaneers,4,10/4/15,1:00 PM ET ,,
Eagles,Redskins,4,10/4/15,1:00 PM ET ,,
Raiders,Bears,4,10/4/15,1:00 PM ET ,,
Texans,Falcons,4,10/4/15,1:00 PM ET ,,
Chiefs,Bengals,4,10/4/15,1:00 PM ET ,,
Browns,Chargers,4,10/4/15,4:05 PM ET ,,
Packers,49ers,4,10/4/15,4:25 PM ET ,,
Rams,Cardinals,4,10/4/15,4:25 PM ET ,,
Vikings,Broncos,4,10/4/15,4:25 PM ET ,,
Cowboys,Saints,4,10/4/15,8:30 PM ET ,,
Lions,Seahawks,4,10/5/15,8:30 PM ET ,,
Colts,Texans,5,10/8/15,8:25 PM ET ,,
Bears,Chiefs,5,10/11/15,1:00 PM ET ,,
Seahawks,Bengals,5,10/11/15,1:00 PM ET ,,
Redskins,Falcons,5,10/11/15,1:00 PM ET ,,
Jaguars,Buccaneers,5,10/11/15,1:00 PM ET ,,
Saints,Eagles,5,10/11/15,1:00 PM ET ,,
Browns,Ravens,5,10/11/15,1:00 PM ET ,,
Rams,Packers,5,10/11/15,1:00 PM ET ,,
Bills,Titans,5,10/11/15,1:00 PM ET ,,
Cardinals,Lions,5,10/11/15,4:05 PM ET ,,
Patriots,Cowboys,5,10/11/15,4:25 PM ET ,,
Broncos,Raiders,5,10/11/15,4:25 PM ET ,,
49ers,Giants,5,10/11/15,8:30 PM ET ,,
Steelers,Chargers,5,10/12/15,8:30 PM ET ,,
Falcons,Saints,6,10/15/15,8:25 PM ET ,,"BYE WEEK:  Cowboys, Raiders, Rams, Buccaneers Flexible scheduling procedures  "
Redskins,Jets,6,10/18/15,1:00 PM ET ,,
Cardinals,Steelers,6,10/18/15,1:00 PM ET ,,
Chiefs,Vikings,6,10/18/15,1:00 PM ET ,,
Bengals,Bills,6,10/18/15,1:00 PM ET ,,
Bears,Lions,6,10/18/15,1:00 PM ET ,,
Broncos,Browns,6,10/18/15,1:00 PM ET ,,
Texans,Jaguars,6,10/18/15,1:00 PM ET ,,
Dolphins,Titans,6,10/18/15,1:00 PM ET ,,
